
✅ hippocampus_389.nii.gz: img max=1.0000, lbl sum=4131
✅ hippocampus_334.nii.gz: img max=1.0000, lbl sum=4114
✅ hippocampus_345.nii.gz: img max=1.0000, lbl sum=4275
✅ hippocampus_178.nii.gz: img max=1.0000, lbl sum=4204
✅ hippocampus_025.nii.gz: img max=1.0000, lbl sum=4756
✅ hippocampus_301.nii.gz: img max=1.0000, lbl sum=5325
✅ hippocampus_303.nii.gz: img max=1.0000, lbl sum=4830
✅ hippocampus_277.nii.gz: img max=1.0000, lbl sum=4913
✅ hippocampus_335.nii.gz: img max=1.0000, lbl sum=3801
✅ hippocampus_046.nii.gz: img max=1.0000, lbl sum=4973
✅ hippocampus_378.nii.gz: img max=1.0000, lbl sum=4334
✅ hippocampus_244.nii.gz: img max=1.0000, lbl sum=4719
✅ hippocampus_172.nii.gz: img max=1.0000, lbl sum=5865
✅ hippocampus_387.nii.gz: img max=1.0000, lbl sum=4651
✅ hippocampus_290.nii.gz: img max=1.0000, lbl sum=4875
✅ hippocampus_023.nii.gz: img max=1.0000, lbl sum=5388
✅ hippocampus_099.nii.gz: img max=1.0000, lbl sum=3818
✅ hippocampus_274.nii.gz: img max=1.0000, lbl sum=3839
✅ hippocampus_144.nii.gz: img max=1.0000, lbl sum=3715
✅ hippocampus_149.nii.gz: img max=1.0000, lbl sum=4666
✅ hippocampus_386.nii.gz: img max=1.0000, lbl sum=4457
✅ hippocampus_230.nii.gz: img max=1.0000, lbl sum=4774
✅ hippocampus_289.nii.gz: img max=1.0000, lbl sum=4194
✅ hippocampus_207.nii.gz: img max=1.0000, lbl sum=6161
✅ hippocampus_296.nii.gz: img max=1.0000, lbl sum=5738
✅ hippocampus_040.nii.gz: img max=1.0000, lbl sum=4984
✅ hippocampus_060.nii.gz: img max=1.0000, lbl sum=5092
✅ hippocampus_058.nii.gz: img max=1.0000, lbl sum=4920
✅ hippocampus_297.nii.gz: img max=1.0000, lbl sum=4021
✅ hippocampus_053.nii.gz: img max=1.0000, lbl sum=5388
✅ hippocampus_114.nii.gz: img max=1.0000, lbl sum=4949
✅ hippocampus_088.nii.gz: img max=1.0000, lbl sum=5646
✅ hippocampus_338.nii.gz: img max=1.0000, lbl sum=5239
✅ hippocampus_326.nii.gz: img max=1.0000, lbl sum=5831
✅ hippocampus_217.nii.gz: img max=1.0000, lbl sum=4184
✅ hippocampus_033.nii.gz: img max=1.0000, lbl sum=4991
✅ hippocampus_325.nii.gz: img max=1.0000, lbl sum=5770
✅ hippocampus_019.nii.gz: img max=1.0000, lbl sum=4824
✅ hippocampus_150.nii.gz: img max=1.0000, lbl sum=4571
✅ hippocampus_373.nii.gz: img max=1.0000, lbl sum=5496
✅ hippocampus_048.nii.gz: img max=1.0000, lbl sum=4587
✅ hippocampus_295.nii.gz: img max=1.0000, lbl sum=5349
✅ hippocampus_375.nii.gz: img max=1.0000, lbl sum=4758
✅ hippocampus_065.nii.gz: img max=1.0000, lbl sum=5570
✅ hippocampus_133.nii.gz: img max=1.0000, lbl sum=4919
✅ hippocampus_363.nii.gz: img max=1.0000, lbl sum=5174
✅ hippocampus_328.nii.gz: img max=1.0000, lbl sum=5543
✅ hippocampus_355.nii.gz: img max=1.0000, lbl sum=4851
✅ hippocampus_093.nii.gz: img max=1.0000, lbl sum=5722
✅ hippocampus_298.nii.gz: img max=1.0000, lbl sum=3916
✅ hippocampus_268.nii.gz: img max=1.0000, lbl sum=4671
✅ hippocampus_199.nii.gz: img max=1.0000, lbl sum=3982
✅ hippocampus_155.nii.gz: img max=1.0000, lbl sum=5064
✅ hippocampus_038.nii.gz: img max=1.0000, lbl sum=5279
✅ hippocampus_185.nii.gz: img max=1.0000, lbl sum=4385
✅ hippocampus_162.nii.gz: img max=1.0000, lbl sum=5040
✅ hippocampus_064.nii.gz: img max=1.0000, lbl sum=5276
✅ hippocampus_174.nii.gz: img max=1.0000, lbl sum=6100
✅ hippocampus_374.nii.gz: img max=1.0000, lbl sum=5631
✅ hippocampus_318.nii.gz: img max=1.0000, lbl sum=5003
✅ hippocampus_330.nii.gz: img max=1.0000, lbl sum=5762
✅ hippocampus_197.nii.gz: img max=1.0000, lbl sum=4970
✅ hippocampus_286.nii.gz: img max=1.0000, lbl sum=4782
✅ hippocampus_156.nii.gz: img max=1.0000, lbl sum=5098
✅ hippocampus_164.nii.gz: img max=1.0000, lbl sum=6038
✅ hippocampus_233.nii.gz: img max=1.0000, lbl sum=4741
✅ hippocampus_044.nii.gz: img max=1.0000, lbl sum=4748
✅ hippocampus_321.nii.gz: img max=1.0000, lbl sum=4299
✅ hippocampus_261.nii.gz: img max=1.0000, lbl sum=5743
✅ hippocampus_020.nii.gz: img max=1.0000, lbl sum=5076
✅ hippocampus_089.nii.gz: img max=1.0000, lbl sum=5647
✅ hippocampus_226.nii.gz: img max=1.0000, lbl sum=3728
✅ hippocampus_123.nii.gz: img max=1.0000, lbl sum=4746
✅ hippocampus_146.nii.gz: img max=1.0000, lbl sum=5027
✅ hippocampus_216.nii.gz: img max=1.0000, lbl sum=5002
✅ hippocampus_356.nii.gz: img max=1.0000, lbl sum=5129
✅ hippocampus_235.nii.gz: img max=1.0000, lbl sum=4601
✅ hippocampus_015.nii.gz: img max=1.0000, lbl sum=4127
✅ hippocampus_051.nii.gz: img max=1.0000, lbl sum=4697
✅ hippocampus_331.nii.gz: img max=1.0000, lbl sum=4827
✅ hippocampus_390.nii.gz: img max=1.0000, lbl sum=4618
✅ hippocampus_125.nii.gz: img max=1.0000, lbl sum=3795
✅ hippocampus_173.nii.gz: img max=1.0000, lbl sum=5575
✅ hippocampus_279.nii.gz: img max=1.0000, lbl sum=3503
✅ hippocampus_224.nii.gz: img max=1.0000, lbl sum=5607
✅ hippocampus_148.nii.gz: img max=1.0000, lbl sum=4201
✅ hippocampus_234.nii.gz: img max=1.0000, lbl sum=4883
✅ hippocampus_024.nii.gz: img max=1.0000, lbl sum=6049
✅ hippocampus_101.nii.gz: img max=1.0000, lbl sum=5300
✅ hippocampus_264.nii.gz: img max=1.0000, lbl sum=5750
✅ hippocampus_135.nii.gz: img max=1.0000, lbl sum=3895
✅ hippocampus_084.nii.gz: img max=1.0000, lbl sum=4910
✅ hippocampus_232.nii.gz: img max=1.0000, lbl sum=4212
✅ hippocampus_194.nii.gz: img max=1.0000, lbl sum=4427
✅ hippocampus_257.nii.gz: img max=1.0000, lbl sum=4538
✅ hippocampus_309.nii.gz: img max=1.0000, lbl sum=5442
✅ hippocampus_276.nii.gz: img max=1.0000, lbl sum=5230
✅ hippocampus_127.nii.gz: img max=1.0000, lbl sum=5404
✅ hippocampus_039.nii.gz: img max=1.0000, lbl sum=5278
✅ hippocampus_385.nii.gz: img max=1.0000, lbl sum=4681
✅ hippocampus_287.nii.gz: img max=1.0000, lbl sum=5634
✅ hippocampus_336.nii.gz: img max=1.0000, lbl sum=3888
